n,tipo,dominio,muestra,algoritmo,tiempo_ms
1000,aleatorio,D1,b,quicksort,0.2193
1000,aleatorio,D1,b,patiencesort,0.2056
1000,aleatorio,D1,c,sort,0.2727
1000,aleatorio,D1,c,mergesort,0.2142
1000,aleatorio,D1,c,quicksort,0.1627
1000,aleatorio,D1,c,patiencesort,0.1721
1000,aleatorio,D7,a,sort,0.2711
1000,aleatorio,D7,a,mergesort,0.2471
1000,aleatorio,D7,a,quicksort,0.1944
1000,aleatorio,D7,a,patiencesort,0.1933
1000,aleatorio,D7,b,sort,0.16
1000,aleatorio,D7,b,mergesort,0.1852
1000,aleatorio,D7,b,quicksort,0.218
1000,aleatorio,D7,b,patiencesort,0.3255
1000,aleatorio,D7,c,sort,0.1813
1000,aleatorio,D7,c,mergesort,0.2329
1000,aleatorio,D7,c,quicksort,0.2146
1000,aleatorio,D7,c,patiencesort,0.2233
100000,ascendente,D1,a,sort,0.7854
100000,ascendente,D1,a,mergesort,1.9348
100000,ascendente,D1,a,quicksort,2.0193
100000,ascendente,D1,a,patiencesort,2.0449
100000,ascendente,D1,b,sort,1.1009
100000,ascendente,D1,b,mergesort,1.7763
100000,ascendente,D1,b,quicksort,1.2666
100000,ascendente,D1,b,patiencesort,2.1341
100000,ascendente,D1,c,sort,1.1763
100000,ascendente,D1,c,mergesort,1.4968
100000,ascendente,D1,c,quicksort,1.4351
100000,ascendente,D1,c,patiencesort,1.5532
100000,ascendente,D7,a,sort,1.0317
100000,ascendente,D7,a,mergesort,1.7015
100000,ascendente,D7,a,quicksort,1.6365
100000,ascendente,D7,a,patiencesort,14.0047
100000,ascendente,D7,b,sort,1.6907
100000,ascendente,D7,b,mergesort,2.3629
100000,ascendente,D7,b,quicksort,1.4289
100000,ascendente,D7,b,patiencesort,13.144
100000,ascendente,D7,c,sort,1.3045
100000,ascendente,D7,c,mergesort,1.8523
100000,ascendente,D7,c,quicksort,1.4274
100000,ascendente,D7,c,patiencesort,11.8574
100000,descendente,D1,a,sort,1.0992
100000,descendente,D1,a,mergesort,1.8117
